 sttn    yr    mo  day   hr     db        dp         p         ws     cc    izero     ibeam     isky     ithorz
                                (c)       (c)      (kpa)      (m/s)         (w/m**2)  (w/m**2)  (w/m**2) (w/m**2)
 93734   61    7    7    1     20.00      18.3     101.3      15.0    0      0.00      0.00      0.00      0.00
 93734   61    7    7    2     19.40      18.3     101.3       0.0    0      0.00      0.00      0.00      0.00
 93734   61    7    7    3     19.40      18.3     101.2       0.0    8      0.00      0.00      0.00      0.00
 93734   61    7    7    4     19.40      18.3     101.2       0.0    4      0.00      0.00      0.00      0.00
 93734   61    7    7    5     19.40      18.3     101.2      20.0   10      1.39      0.00      0.00      0.00
 93734   61    7    7    6     19.40      18.3     101.2      20.0    8    138.89      0.00      4.44      4.44
 93734   61    7    7    7     20.60      19.4     101.3      20.0   10    383.89      0.00     54.44     54.44
 93734   61    7    7    8     22.20      19.4     101.3       0.0    9    626.11     13.61    160.00    166.39
 93734   61    7    7    9     23.30      18.9     101.3      20.0    9    847.78    105.56    286.94    354.72
 93734   61    7    7   10     22.80      19.4     101.3      30.0   10   1033.61    111.11    392.78    479.72
 93734   61    7    7   11     24.40      20.0     101.2      25.0   10   1170.56    116.67    480.28    583.61
 93734   61    7    7   12     24.40      19.4     101.2      25.0   10   1249.72    179.44    461.11    630.83
 93734   61    7    7   13     25.60      19.4     101.1      30.0    7   1265.56    436.39    426.11    844.17
 93734   61    7    7   14     26.70      20.0     101.1      41.0    5   1216.67     99.17    392.22    483.61
 93734   61    7    7   15     27.20      20.6     101.0      30.0    6   1106.94    184.44    386.94    541.39
 93734   61    7    7   16     26.70      19.4     101.0      36.0    8    943.33    376.94    291.67    560.83
 93734   61    7    7   17     26.70      19.4     100.9      30.0    8    737.22    618.61    116.94    461.94
 93734   61    7    7   18     26.10      19.4     100.9      41.0    9    502.78    474.44    107.78    288.33
 93734   61    7    7   19     25.00      19.4     100.9      30.0    9    256.39     72.78     69.72     83.89
 93734   61    7    7   20     23.30      20.0     100.9      30.0    7     40.00      0.00      1.94      1.94
 93734   61    7    7   21     22.80      20.0     100.9      30.0    8      0.00      0.00      0.00      0.00
 93734   61    7    7   22     22.80      20.0     100.9      30.0    7      0.00      0.00      0.00      0.00
 93734   61    7    7   23     22.20      20.6     100.9      25.0    7      0.00      0.00      0.00      0.00
 93734   61    7    7   24     21.70      20.6     100.8      25.0    6      0.00      0.00      0.00      0.00
 93734   61    7    8    1     21.10      20.0     100.8      20.0    8      0.00      0.00      0.00      0.00
 93734   61    7    8    2     20.60      19.4     100.8      25.0    5      0.00      0.00      0.00      0.00
 93734   61    7    8    3     20.00      18.9     100.7      20.0    3      0.00      0.00      0.00      0.00
 93734   61    7    8    4     19.40      18.9     100.7      20.0    4      0.00      0.00      0.00      0.00
 93734   61    7    8    5     19.40      18.3     100.8      20.0    4      1.39      0.00      0.00      0.00
 93734   61    7    8    6     18.90      18.3     100.8      25.0   10    136.67      0.00     18.89     18.89
 93734   61    7    8    7     20.00      18.9     100.8      25.0    4    381.94    128.06    108.33    145.28
 93734   61    7    8    8     21.70      19.4     100.9      25.0    6    624.44    383.06    165.28    346.11
 93734   61    7    8    9     22.80      20.0     100.9      30.0    3    846.11    570.00    174.17    539.17
 93734   61    7    8   10     24.40      20.0     100.9      25.0    3   1032.22    634.72    203.89    699.72
 93734   61    7    8   11     25.60      20.0     100.8       0.0    3   1169.72    685.28    219.17    825.83
 93734   61    7    8   12     27.20      16.7     100.8      41.0    2   1248.89    682.78    255.83    901.11
 93734   61    7    8   13     27.20      11.7     100.8      56.0    2   1264.72    655.28    286.94    914.17
 93734   61    7    8   14     27.20      12.8     100.8      51.0    2   1216.11    559.72    330.83    846.11
 93734   61    7    8   15     26.70      15.0     100.8      51.0    5   1106.39    480.56    320.83    723.33
 93734   61    7    8   16     26.10      13.3     100.8      56.0    7    942.78    142.78    348.89    450.56
 93734   61    7    8   17     25.60      12.8     100.8      56.0    7    736.67    447.78    200.56    450.28
 93734   61    7    8   18     25.60      12.8     100.8      61.0    7    501.94    591.67    106.94    331.67
 93734   61    7    8   19     23.30      12.8     100.9      61.0    7    255.56    321.11     64.44    126.67
 93734   61    7    8   20     21.10      11.1     100.9      61.0    7     39.44      0.00      3.33      3.33
 93734   61    7    8   21     20.00      11.1     101.0      36.0    8      0.00      0.00      0.00      0.00
 93734   61    7    8   22     19.40      11.1     101.1      41.0    4      0.00      0.00      0.00      0.00
 93734   61    7    8   23     18.90      11.7     101.1      46.0    3      0.00      0.00      0.00      0.00
 93734   61    7    8   24     18.30      11.7     101.1      36.0    3      0.00      0.00      0.00      0.00
 93734   61    7    9    1     17.80      11.7     101.1      25.0    2      0.00      0.00      0.00      0.00
 93734   61    7    9    2     17.20      11.7     101.0      30.0    0      0.00      0.00      0.00      0.00
 93734   61    7    9    3     15.00      12.2     101.0      41.0    0      0.00      0.00      0.00      0.00
 93734   61    7    9    4     15.00      12.2     101.1      36.0    0      0.00      0.00      0.00      0.00
 93734   61    7    9    5     15.00      12.2     101.1      30.0    0      0.83      0.00      0.00      0.00
 93734   61    7    9    6     16.10      12.8     101.2      30.0    0    134.44      1.67     32.22     32.50
 93734   61    7    9    7     18.90      13.3     101.2      46.0    0    379.72    327.22     98.06    192.22
 93734   61    7    9    8     19.40      13.9     101.2      41.0    0    622.50    546.39    124.17    381.67
 93734   61    7    9    9     21.10      13.9     101.2      41.0    0    844.72    626.67    160.00    560.56
 93734   61    7    9   10     22.20      14.4     101.3      36.0    1   1030.83    703.33    184.17    732.78
 93734   61    7    9   11     23.90      15.0     101.3      30.0    3   1168.61    779.17    175.56    864.72
 93734   61    7    9   12     25.00      14.4     101.2      41.0    6   1248.06    796.94    191.39    944.17
 93734   61    7    9   13     25.00      13.9     101.2      61.0    8   1264.17    751.67    251.39    970.56
 93734   61    7    9   14     25.60      13.3     101.2      46.0    6   1215.56    496.39    365.56    822.22
 93734   61    7    9   15     26.70      13.9     101.1      36.0    7   1105.83    393.89    350.28    680.00
 93734   61    7    9   16     25.00      13.3     101.1      46.0    7    942.22    346.39    309.72    556.67
 93734   61    7    9   17     25.60      12.8     101.1      46.0    5    736.11     30.83    229.72    246.94
 93734   61    7    9   18     25.00      10.0     101.2      41.0    4    501.39    177.78    156.94    224.44
 93734   61    7    9   19     23.90      11.7     101.2      41.0    6    254.44    183.33     69.44    104.72
 93734   61    7    9   20     21.70      11.1     101.3      36.0    8     38.61      0.00      2.78      2.78
 93734   61    7    9   21     20.60      11.1     101.3      20.0    6      0.00      0.00      0.00      0.00
 93734   61    7    9   22     21.10      12.2     101.4      61.0    3      0.00      0.00      0.00      0.00
 93734   61    7    9   23     18.90      10.6     101.4      51.0    3      0.00      0.00      0.00      0.00
 93734   61    7    9   24     19.40      10.6     101.4       0.0    7      0.00      0.00      0.00      0.00
